iso3c,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,total_msw_total_msw_generated_tons_year
ABW,Aruba,,,,,,,,,,,88132.0167
AFG,Afghanistan,21413614653.3241,,,,,,,,,,5628525.37
AGO,Angola,103042328743.665,51.8,6.7,4.4,11.5,11.9,13.5,,,,4213643.585
ALB,Albania,13471082475.1768,51.4,4.5,4.8,15.21,9.9,9.6,,4.6,,1142964.0
AND,Andorra,3319880351.13342,31.2,8.2,2.6,11.6,35.1,11.3,,,,43000.0
ARE,United Arab Emirates,384222464261.402,39.0,4.0,3.0,10.0,25.0,19.0,,,,5413453.408
ARG,Argentina,447517812725.52,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,17910550.0
ARM,Armenia,11501998665.6524,57.0,3.2,3.4,17.4,6.7,11.4,0.3,0.6,,492800.0
ASM,American Samoa,534555066.079295,19.7,3.4,7.9,25.6,26.4,12.8,4.2,,,18989.49
ATG,Antigua and Barbuda,1344373697.9233,46.0,7.0,7.0,12.0,15.0,13.0,,,,30585.0
AUS,Australia,1349304594617.26,48.44,3.81,19.38,3.46,17.3,7.61,,,,13345000.0
AUT,Austria,420040461384.701,31.4,7.0,4.4,18.5,19.7,11.1,,7.9,,4836000.0
AZE,Azerbaijan,57195531761.5917,45.19,5.28,3.49,13.73,10.93,7.87,3.09,,10.42,2930349.0
BDI,Burundi,2297241391.84594,81.0,2.9,2.1,3.2,7.3,3.5,,,,1872016.0
BEL,Belgium,515102640677.261,14.18,3.1,1.91,40.14,18.38,13.94,,2.37,5.84,4708000.0
BEN,Benin,9102277422.82945,52.1,1.6,1.6,34.3,3.1,7.3,,,,685936.01
BFA,Burkina Faso,12380518526.0539,21.0,1.0,1.0,61.0,7.0,9.0,,,,2575251.11
BGD,Bangladesh,167771337874.218,80.57999999999998,0.44,0.5,8.59,3.04,4.67,1.08,,1.1,14778497.33
BGR,Bulgaria,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,3011000.0
BHR,Bahrain,31769062885.3112,59.1,3.4,2.1,15.2,12.8,7.4,,,,951942.96945
BHS,"Bahamas, The",10343803831.7942,46.0,7.0,7.0,12.0,15.0,13.0,,,,264000.0
BIH,Bosnia and Herzegovina,18929698720.1192,,,,92.7,4.9,,,,2.4,1248718.0
BLR,Belarus,59187019676.14,30.0,8.0,2.0,35.0,5.0,12.0,6.0,2.0,,4280000.0
BLZ,Belize,1602671549.36449,47.0,8.0,5.0,5.0,16.0,19.0,,,,101378.83030000002
BMU,Bermuda,,17.0,9.0,6.0,26.0,29.0,13.0,,,,82000.0
BOL,Bolivia,26758341469.4947,55.19691119691119,2.9034749034749034,2.501930501930502,22.702702702702705,6.501930501930501,10.193050193050194,,,,2219052.0
BRA,Brazil,2256907026242.19,51.4,2.4,2.9,16.7,13.1,13.5,,,,79889010.0
BRB,Barbados,4637855785.12986,18.3,3.7,4.9,5.7,19.7,17.1,12.1,,18.6,174815.44444444444
BRN,Brunei Darussalam,13301457674.8771,36.0,3.0,4.0,15.0,18.0,16.0,1.0,1.0,6.0,216253.156
BTN,Bhutan,2234759341.867,58.0,4.0,1.0,7.0,17.0,13.0,,,,111314.05
BWA,Botswana,16843294912.9068,8.1,,0.1,91.9,,,,,,210854.442618916
CAF,Central African Republic,1496562091.9823,,,,,,,,,,1105983.0
CAN,Canada,1828002272029.79,24.0,6.0,13.0,8.0,47.0,3.0,,,,25103034.0
CHE,Switzerland,642089703646.215,29.0,4.0,3.0,29.0,20.0,15.0,,,,6056000.0
CHI,Channel Islands,,,,,,,,,,,178933.0
CHL,Chile,267904170064.212,53.3,6.6,2.3,16.0,12.4,9.4,,,,6517000.0
CHN,China,9505156930655.12,61.2,2.1,1.1,13.1,9.6,9.8,1.3,1.8,,210000000.0
CIV,Côte d’Ivoire,36796468786.8278,,,,,,,,,,4440814.27
CMR,Cameroon,35051979601.3947,83.4,0.1,0.7,10.4,2.1,3.3,,,,3270616.59
COD,"Congo, Dem. Rep.",32089998961.1136,,,,,,,,,,14385226.02
COG,"Congo, Rep.",14205686707.8991,,,,,,,,,,451200.0
COL,Colombia,366456704285.594,59.58,2.35,1.1,15.74,8.4,12.83,,,,12150120.0
COM,Comoros,611370805.212453,50.0,2.0,4.0,22.0,7.0,5.0,,,10.0,91013.0
CPV,Cabo Verde,1860165514.9836,,,,,,,,,,132555.0
CRI,Costa Rica,46551438317.2602,58.0,1.0,2.0,7.0,21.0,11.0,,,,1460000.0
CUB,Cuba,,68.9,4.6,1.6,3.0,12.3,9.6,,,,2692691.98
CUW,Curacao,,,,,,,,,,,24703.813200000004
CYM,Cayman Islands,,10.9,3.5,6.2,11.4,31.1,11.0,,7.3,18.6,60000.0
CYP,Cyprus,24311614954.7601,41.47,2.66,3.25,10.07,25.7,14.77,,2.08,,541000.0
CZE,Czech Republic,231340463131.439,62.3,2.4,8.4,14.899999999999997,9.1,2.2,,0.7,,3337000.0
DEU,Germany,3781698549834.74,30.0,10.0,1.4,17.7,24.0,13.0,4.0,,,51046000.0
DJI,Djibouti,,,,,,,,,,,114997.24900398408
DMA,Dominica,506021862.869353,45.0,8.0,5.0,14.0,12.0,16.0,,,,13176.0
DNK,Denmark,347519725465.965,12.78,5.78,6.29,23.86,11.57,1.61,0.0,7.65,30.46,4485000.0
DOM,Dominican Republic,73664129264.5577,51.0,6.0,3.0,10.0,16.0,10.0,,4.0,,4063910.0
DZA,Algeria,196034821993.495,54.4,1.2,2.8,0.8,9.8,16.9,12.6,1.5,,12378740.0
ECU,Ecuador,85056519293.3115,58.67,3.01,1.53,13.78,10.25,11.44,0.4499999999999999,0.86,,5297211.142533937
EGY,"Egypt, Arab Rep.",260816315725.83,56.0,4.0,2.0,15.0,10.0,13.0,,,,21000000.0
ERI,Eritrea,,,,,,,,,,,726957.37
ESP,Spain,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,,2.0,,20151000.0
EST,Estonia,23808677023.3013,36.7,8.3,2.6,15.9,17.5,18.6,,0.4,,473000.0
ETH,Ethiopia,52347226230.2332,87.6,0.8,1.2,4.4,3.8,2.3,,,,6532786.97
FIN,Finland,252692239709.946,35.88,9.24,1.7,13.13,37.83,1.45,,0.73,,2738000.0
FJI,Fiji,3771168285.97478,33.2,4.1,1.9,3.5,12.5,7.5,0.1,,37.2,189389.594
FRA,France,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,,,,33399000.0
FRO,Faeroe Islands,,,,,,,,,,,61000.0
FSM,"Micronesia, Fed. Sts.",296282643.971121,23.83,7.07,16.73,9.32,13.3,26.17,3.58,,,26039.57
